Vehicle Type,Example Make-Model,FE_City,FE_Highway,FE_Combined,FE_Unit,List_Price
Cargo Van-ICE,Ford Transit Cargo,24.0,27.0,25.0,MPG,"$32,000 "
Hatchback-Hybrid,Toyota Prius,58.0,53.0,56.0,MPG,"$26,170 "
Hatchback-ICE,Acura Integra,30.0,37.0,33.0,MPG,"$31,895 "
Minivan-Hybrid,Toyota Sienna,36.0,36.0,36.0,MPG,"$36,720 "
Minivan-ICE,Honda Odyssey,19.0,28.0,22.0,MPG,"$38,785 "
Pickup-Full-ICE,Ford F150,20.0,24.0,21.0,MPG,"$36,170 "
Pickup-Compact-Hybrid,Ford Maverick,23.0,30.0,26.0,MPG,"$22,490 "
Pickup-Compact-ICE,Hyundai Santa Cruz,19.0,25.0,23.0,MPG,"$26,745 "
Sedan-Luxury-ICE,Mercedes-Benz S500,20.0,28.0,23.0,MPG,"$129,369 "
Sedan-Full-Hybrid,Honda Accord,48.0,47.0,47.0,MPG,"$28,215 "
Sedan-Full-ICE,Honda Accord,30.0,38.0,33.0,MPG,"$28,570 "
Sedan-Compact-Hybrid,Hyundai Elantra,53.0,56.0,54.0,MPG,"$21,595 "
Sedan-Compact-ICE,Honda Civic,31.0,39.0,35.0,MPG,"$28,345 "
SUV-Compact-Hybrid,Toyota RAV4,41.0,38.0,40.0,MPG,"$30,790 "
SUV-Compact-ICE,Toyota RAV4,27.0,34.0,30.0,MPG,"$28,150 "
SUV-Luxury-ICE,Lexus RX 350,20.0,27.0,23.0,MPG,"$47,070 "
SUV-Full-ICE,Chevrolet Tahoe,15.0,20.0,17.0,MPG,"$55,995 "
Motorcycle-Entry-ICE,Honda CB500X,70.0,55.0,65.0,MPG,"$7,299 "
Motorcycle-Sport-ICE,BMW S1000RR,45.0,35.0,40.0,MPG,"$17,895 "
Motorcycle-Cruiser-ICE,Harley-Davidson Road King,40.0,35.0,37.0,MPG,"$19,110 "
Hatchback-EV,Chevrolet Bolt EV,3.9,3.2,3.6,MPKWh,"$32,495 "
Pickup-Full-EV,Ford F150 Lightning,2.3,1.8,2.0,MPKWh,"$54,669 "
Sedan-Compact-EV,Tesla Model 3,4.1,3.7,3.9,MPKWh,"$48,190 "
Sedan-Luxury-EV,Tesla Model S,3.7,3.4,3.6,MPKWh,"$101,190 "
SUV-Luxury-EV,Tesla Model X,3.2,2.9,3.0,MPKWh,"$116,190 "
SUV-Compact-EV,Volkswagen ID4,3.4,2.9,3.2,MPKWh,"$42,525 "